Rank	Title	Status	Study Results	Conditions	Interventions	Locations	URL
229	CD19 Chimeric Antigen Receptor (CAR) T Cells for Adults With Recurrent or Refractory B Cell Malignancies	Recruiting	No Results Available	B-Cell Acute Lymphoblastic Leukemia, Adult|B-cell Lymphoma Refractory|B-cell Lymphoma Recurrent	Drug: Fludarabine|Drug: Cyclophosphamide|Biological: CD19-CD34 CAR transduced T cells	Loyola University, Maywood, Illinois, United States	https://ClinicalTrials.gov/show/NCT04214886
230	Dose-escalating Trial With UniCAR02-T Cells and CD123 Target Module (TM123) in Patients With Hematologic and Lymphatic Malignancies	Recruiting	No Results Available	Acute Myeloid Leukemia (AML)|B-cell Acute Lymphoblastic Leukemia (b-ALL)|Blastic Plasmacytoid Dendritic Cell Neoplasm (BPDCN)	Drug: Cyclophosphamide (Non-IMP)|Drug: Fludarabine (Non-IMP)|Drug: TM123 (IMP)|Drug: UniCAR02-T (IMP)	Universitätsklinikum Ulm, Ulm, Baden-Württemberg, Germany|Universitätsklinikum Würzburg, Würzburg, Bayern, Germany|Philipps-Universität Marburg, Marburg, Hessen, Germany|Universitätsklinikum Dresden, Dresden, Sachsen, Germany|Universitätsklinikum Leipzig, Leipzig, Sachsen, Germany|Universitätsklinikum Hamburg-Eppendorf, Hamburg, Germany	https://ClinicalTrials.gov/show/NCT04230265
231	ALL SCTped FORUM - Pharmacogenomic Study (add-on Study)	Recruiting	No Results Available	Acute Lymphoblastic Leukemia	Genetic: Pharmacogenomics|Other: Busulfan plasma level measurements	Hôpital Cantonal de Genève, Département de Pédiatrie, Geneva, Cansearch Laboratory, Switzerland|Universitäts-Kinderspital beider Basel (UKBB), Onkologie/Hämatologie, Basel, Switzerland|HUG Hôpitaux Universitaire de Genève, Unité d'onco-hématologie pédiatrique, Geneva, Switzerland|Universitäts-Kinderspital, Zurich, Switzerland	https://ClinicalTrials.gov/show/NCT02670564
232	Multi-CAR T Cell Therapy Targeting CD7-positive Malignancies	Recruiting	No Results Available	T-cell Acute Lymphoblastic Leukemia|T-cell Acute Lymphoblastic Lymphoma|Acute Myeloid Leukemia|NK Cell Lymphoma	Biological: CD7-specific CAR gene-engineered T cells	Shenzhen Geno-immune Medical Institute, Shenzhen, Guangdong, China	https://ClinicalTrials.gov/show/NCT04033302
233	Cord Blood Derived Anti-CD19 CAR-Engineered NK Cells for B Lymphoid Malignancies	Recruiting	No Results Available	Acute Lymphocytic Leukemia|Chronic Lymphocytic Leukemia|Non Hodgkin's Lymphoma	Drug: Fludarabine + Cyclophosphamide + CAR-NK-CD19 Cells	Union Hospital, Huazhong University of Science and Technology, Wuhan, Hubei, China	https://ClinicalTrials.gov/show/NCT04796675
234	A Clinical Study of CAR-T Cells Treatment for Children With CD19+/CD22+ R/R ALL and Lymphoma	Recruiting	No Results Available	Relapsed B-cell Acute Lymphoblastic Leukemia, Childhood|Refractory B-cell Acute Lymphoblastic Leukemia, Childhood|Relapsed/Refractory B-cell Lymphoma, Childhood	Biological: CAR-T19/CAR-T22	Xiangya Hospital Central South University, Changsha, Hunan, China	https://ClinicalTrials.gov/show/NCT04204161
235	Study of Efficacy and Safety of Reinfusion of Tisagenlecleucel in Pediatric and Young Adult Patients With Acute Lymphoblastic Leukemia (ALL)	Recruiting	No Results Available	ALL	Biological: Tisagenlecleucel	Childrens Hospital Los Angeles Divisionof Hematology/Oncology, Los Angeles, California, United States|Ann and Robert H Lurie Childrens Hospital of Chicago, Chicago, Illinois, United States|Children s Mercy Hospital, Kansas City, Missouri, United States|Cincinnati Children s Hospital Medical Center Cin. Children's Hosp Med Ctr, Cincinnati, Ohio, United States|UT Southwestern Medical Center, Dallas, Texas, United States|University of Utah Clinical Trials Office, Salt Lake City, Utah, United States	https://ClinicalTrials.gov/show/NCT04225676
236	Inotuzumab Ozogamicin and Chemotherapy in Treating Patients With Leukemia or Lymphoma Undergoing Stem Cell Transplantation	Recruiting	No Results Available	Acute Lymphoblastic Leukemia|B Acute Lymphoblastic Leukemia|Lymphocytic Neoplasm|Lymphoma	Procedure: Allogeneic Bone Marrow Transplantation|Biological: Anti-Thymocyte Globulin|Drug: Bendamustine|Biological: Filgrastim-sndz|Drug: Fludarabine|Biological: Inotuzumab Ozogamicin|Drug: Melphalan|Drug: Methotrexate|Procedure: Peripheral Blood Stem Cell Transplantation|Biological: Rituximab|Drug: Tacrolimus	M D Anderson Cancer Center, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT03856216
237	UCD19 CarT in Treatment of Pediatric B-ALL and B-NHL	Recruiting	No Results Available	B-cell Acute Lymphoblastic Leukemia|B-cell Non Hodgkin Lymphoma	Drug: CD19CAR-CD3Zeta-4-1BB-Expressing Allogeneic T-Lymphocyte Cells	Children's Hospital Colorado, Aurora, Colorado, United States	https://ClinicalTrials.gov/show/NCT04544592
238	The Clinical Application of Chimeric Antigen Receptor T Cells in the Treatment of CD19 Positive Recurrent Refractory B Cell-derived Hematological Malignancies	Recruiting	No Results Available	B Acute Lymphoblastic Leukemia|Mantle Cell Lymphoma|Follicular Lymphoma	Drug: CD19-CART	Hematology Department of the Second Affiliated Hospital of Suzhou University, Suzhou, Jiangsu, China	https://ClinicalTrials.gov/show/NCT04184414
239	Safety and Efficiency of γ9δ2 T Cell Against Post-transplant Acute Leukemia/Myelodysplastic Syndrome Relapse	Recruiting	No Results Available	Acute Myeloid Leukemia|Acute Lymphoblastic Leukemia|Myelodysplastic Syndromes	Drug: Ex-vivo expanded γ9δ2 T-cells infusion	Chinese PLA General Hospital, Beijing, China	https://ClinicalTrials.gov/show/NCT04764513
240	Phase I/II Study of Bosutinib in Combination With Inotuzumab Ozogamicin in CD22-positive PC Positive ALL and CML	Recruiting	No Results Available	B Acute Lymphoblastic Leukemia With t(9;22)(q34.1;q11.2); BCR-ABL1|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Blasts More Than 5 Percent of Bone Marrow Nucleated Cells|CD22 Positive|Philadelphia Chromosome Positive, BCR-ABL1 Positive Chronic Myelogenous Leukemia|Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive	Drug: Bosutinib|Biological: Inotuzumab Ozogamicin|Other: Laboratory Biomarker Analysis	M D Anderson Cancer Center, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT02311998
241	Treatment of Hematological Malignancy With Novel CAR-T Cells.	Recruiting	No Results Available	B-cell Non Hodgkin Lymphoma|B-cell Acute Lymphoblastic Leukemia|Multiple Myeloma	Biological: Novel CAR-T	Hunan Provincial People's Hospital, Changsha, Hunan, China	https://ClinicalTrials.gov/show/NCT04191941
242	Matched Unrelated vs. Haploidentical Donor for Allogeneic Stem Cell Transplantation in Patients With Acute Leukemia	Recruiting	No Results Available	Acute Myeloid Leukemia in Remission|Acute Lymphoblastic Leukemia in Remission|Myelodysplastic Syndromes	Drug: Allogeneic Stem Cell Transplantation	LKH-Univ. Klinikum Graz, Graz, Austria|Medizinische Universität Wien, Universitätsklinik für Innere Medizin I Einrichtung für Stammzelltransplantation KMT, Wien, Austria|Turku University Central Hospital, Turku, Finland|University Hospital Düsseldorf, Düsseldorf, Germany|Universitätsklinikum Essen, Essen, Germany|Universitätsklinikum Frankfurt am Main   Medizinische Klinik II, Frankfurt, Germany|Universitätsklinikum Freiburg, Freiburg, Germany|Universitätsklinikum Hamburg-Eppendorf, Hamburg, Germany|Medizinische Hochschule Hannover, Hannover, Germany|Universitätsklinikum Leipzig Dep. Innere Medizin, Neurologie und Dermatologie Medizinische Klinik und Poliklinik I - Hämatologie und Zelltherapie, Hämostaseologie, Leipzig, Germany|Universitätsklinikum Münster, Münster, Germany|Universitätsklinikum Tübingen, Tübingen, Germany|ASST Papa Giovanni XXIII, Bergamo, Italy|Pavlov First Saint Petersburg State Medical University, Saint Petersburg, Russian Federation|Hospital Universitari Germans Trias I Pujol, Badalona, Spain|Hospital Clínico y Provincial de Barcelona, Barcelona, Spain|Hospital de la Santa Creu I Sant Pau, Barcelona, Spain|Hospital General Universitario Gregorio Marañón, Madrid, Spain|Hospital Universitario de Salamanca, Salamanca, Spain|Hospital Universitario Virgen del Rocío, Sevilla, Spain|Hospital Clínico Universitario de Valencia, Valencia, Spain|Hospital Universitario y Politécnico de La Fe, Valencia, Spain	https://ClinicalTrials.gov/show/NCT04232241
243	FT819 in Subjects With B-cell Malignancies	Not yet recruiting	No Results Available	Lymphoma, B-Cell|Chronic Lymphocytic Leukemia|Precursor B-Cell Acute Lymphoblastic Leukemia	Drug: FT819|Drug: Cyclophosphamide|Drug: Fludarabine|Drug: IL-2		https://ClinicalTrials.gov/show/NCT04629729
244	Pilot Imaging Study of Leukemia	Not yet recruiting	No Results Available	Acute Lymphocytic Leukemia|Acute Myeloid Leukemia|Ambiguous Lineage Leukemia or Lymphoma|Myelodysplastic Syndrome	Drug: FLT	Children's National Health System, Washington, District of Columbia, United States|Emory University, Atlanta, Georgia, United States|University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, United States	https://ClinicalTrials.gov/show/NCT03633955
245	Pharmacogenetic Study of Antimitotic Therapies Involved in Hepatic VOD in Children With Nephroblastoma or ALL	Not yet recruiting	No Results Available	Hepatic Veno-Occlusive Disease|Nephroblastoma|Acute Lymphoblastic Leukemia	Other: Blood test for genetic analysis	Univesity Hostipal of Amiens, Amiens, France|University Hospital of Bordeaux, Bordeaux, France|University of Brest, Brest, France|University Hospital of Dijon, Dijon, France|Centre Oscar Lambret, Lille, France|University Hospital of Limoges, Limoges, France|Hôpital La Timone, Marseille, France|University Hospital of Nantes, Nantes, France|University Hospital of Nice, Nice, France|Institut Curie, Paris, France|Hôpital Trousseau, Paris, France|University Hospital of Poitiers, Poitiers, France|University Hospital of Rennes, Rennes, France|University Hospital of La Réunion, Saint-Denis, France|University Hospital of Tours, Tours, France|Gustave Roussy, Villejuif, France	https://ClinicalTrials.gov/show/NCT04168788
246	Palbociclib and Sorafenib, Decitabine, or Dexamethasone in Treating Patients With Recurrent or Refractory Leukemia	Recruiting	No Results Available	Recurrent Acute Lymphoblastic Leukemia|Recurrent Acute Myeloid Leukemia|Refractory Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia	Drug: Decitabine|Drug: Dexamethasone|Drug: Palbociclib|Drug: Sorafenib	M D Anderson Cancer Center, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT03132454
247	CD19-CAR_Lenti T Cells in Pediatric Patients Affected by Relapsed/Refractory CD19+ ALL and DLBCL or PML	Recruiting	No Results Available	Acute Lymphoblastic Leukemia|Diffuse Large B Cell Lymphoma|Primary Mediastinal Lymphoma	Biological: CD19-CAR_Lenti T cell	IRCCS Ospedale Pediatrico Bambino Gesù, Roma, Italy	https://ClinicalTrials.gov/show/NCT04787263
248	Personalized Targeted Preparative Regimen Before T-depleted Allogeneic HSCT in Children With Chemoresistent Acute Leukemias	Recruiting	No Results Available	Refractory Acute Myeloid Leukemia|Refractory Acute Lymphoblastic Leukemia	Drug: Preparative regimen	Dmitry Rogachev National Research Center of Pediatric Hematology, Oncology and Immunology, Moscow, Russian Federation	https://ClinicalTrials.gov/show/NCT04000698
249	A Modified Dose of Rabbit Anti-thymocyte Globulin (rATG) in Children and Adults Receiving Treatment to Help Prepare Their Bodies for a Bone Marrow Transplant	Recruiting	No Results Available	Acute Myeloid Leukemia (AML)|Acute Lymphoid Leukemia (ALL)|Myelodysplastic Syndromes (MDS)	Other: Personalized rATG (P-rATG)|Radiation: Hyper fractionated total body irradiation|Drug: Thiotepa|Drug: Cyclophosphamide|Drug: GCSF|Drug: Busulfan|Drug: Melphalan|Drug: Fludarabine	Memorial Sloan Kettering Cancer Center, New York, New York, United States	https://ClinicalTrials.gov/show/NCT04872595
250	Study of Decitabine Combined With HAAG Regimen in Newly Diagnosed ETP-ALL/LBL, T/M-MPAL and ALL/LBL With Myeloid or Stem Cell Markers Patients	Recruiting	No Results Available	Induction Chemotherapy|Acute T-Lymphocytic Leukemia|T-cell Lymphoblastic Lymphoma Leukemia|T-cell/Myeloid Mixed Phenotype Acute Leukemia	Drug: Decitabine combined with HAAG Regimen	The First Affiliated Hospital of Soochow University, Suzhou, Jiangsu, China	https://ClinicalTrials.gov/show/NCT04446130
251	CAR-20/19-T Cells in Pediatric and Young Adult Patients With Relapsed/Refractory B Cell ALL	Recruiting	No Results Available	Acute Lymphoblastic Leukemia, in Relapse|Acute Lymphoblastic Leukemia With Failed Remission|Acute Lymphoblastic Leukemia Recurrent|Acute Lymphoblastic Leukemia Not Having Achieved Remission|Acute Lymphoblastic Leukemia, Pediatric|Acute Lymphoblastic Leukemia	Biological: CAR-20/19-T cells	Medical College of Wisconsin, Milwaukee, Wisconsin, United States	https://ClinicalTrials.gov/show/NCT04049383
252	Phase I Study of pCAR-19B in the Treatment of CD19-positive Relapsed/Refractory B-ALL in Children and Adolescents	Recruiting	No Results Available	Acute Lymphoblastic Leukemia|Relapsed Pediatric ALL|Refractory Acute Lymphoblastic Leukemia	Biological: pCAR-19B cells	Tongji Hospital affiliated to Tongji Medical College of Huazhong University of Science and Technology, Wuhan, Hubei, China	https://ClinicalTrials.gov/show/NCT04888468
253	Intraocular Pressure in Children With Acute Lymphoblastic Leukemia (ALL) Treated With High Dose Steroids	Recruiting	No Results Available	ALL, Childhood|Steroid-Induced Glaucoma	Device: Intraocular pressure measurment	Schneider Children's Medical Center of Israel, Petach Tikva, Israel	https://ClinicalTrials.gov/show/NCT04593745
254	Study of CD19-directed Allogeneic Memory T-cell Therapy for Relapsed/Refractory CD19+ Leukemia	Recruiting	No Results Available	Acute Lymphoblastic Leukemia, in Relapse|Acute Lymphoblastic Leukemia, Refractory|Pediatric ALL	Biological: CD19-CAR(Mem) T-cells|Drug: Cyclophosphamide|Drug: Fludarabine|Drug: Mesna|Device: CliniMACS|Procedure: Leukapheresis	St. Jude Children's Research Hospital, Memphis, Tennessee, United States	https://ClinicalTrials.gov/show/NCT04881240
255	HLA 10/10 Matched Unrelated Donor vs Haploidentical Allogenic Hematopoietic Stem Cell Transplantation	Not yet recruiting	No Results Available	Acute Myeloid Leukemia|Acute Lymphoblastic Leukemia|Myeloproliferative Syndromes|Myelodysplastic Syndromes	Other: Haplo donor stem cell transplantation|Other: HLA 10/10 MUD stem cell transplantation		https://ClinicalTrials.gov/show/NCT03655145
256	PTCy and Ruxolitinib vs PTCy, Tacrolimus and MMF in MUD and Haploidentical HSCT	Recruiting	No Results Available	Graft-versus-host-disease|Stem Cell Transplant Complications|Acute Myeloid Leukemia|Acute Lymphoid Leukemia	Drug: Ruxolitinib|Drug: Tacrolimus|Drug: Mycophenolate Mofetil	National Hematology Research Center, Moscow, Russian Federation|RM Gorbacheva Research Institute, Saint Petersburg, Russian Federation	https://ClinicalTrials.gov/show/NCT04669210
257	Humanized CD7 CAR T-cell Therapy for r/r CD7+ Acute Leukemia	Recruiting	No Results Available	T Lymphoblastic Leukemia/Lymphoma|Mixed Phenotype Acute Leukemia|Acute Myeloid Leukemia	Biological: Humanized CD7 CAR-T cells	The First Affiliated Hospital of Soochow University, Suzhou, (Select), China	https://ClinicalTrials.gov/show/NCT04762485
258	Anti-CD19 CAR T Infusion Combined With Allogeneic Stem Cell Transplantation for B-cell Leukemia/Lymphoma	Recruiting	No Results Available	B-cell Adult Acute Lymphoblastic Leukemia|B-cell Chronic Lymphocytic Leukemia|Adult Acute Lymphoblastic Leukemia in Remission|Hematopoietic/Lymphoid Cancer|Refractory Chronic Lymphocytic Leukemia	Biological: anti-CD19 CAR-T|Drug: Fludarabine|Drug: Cyclophosphamide	The First Affilicated Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, China	https://ClinicalTrials.gov/show/NCT03110640
259	Total Marrow and Lymphoid Irradiation as Conditioning Regimen Before Hematopoietic Cell Transplantation in Patients With Myelodysplastic Syndrome or Acute Leukemia	Recruiting	No Results Available	Acute Lymphoblastic Leukemia|Acute Myeloid Leukemia|High Risk Myelodysplastic Syndrome|Myelodysplastic Syndrome	Drug: Cyclophosphamide|Drug: Fludarabine|Drug: Fludarabine Phosphate|Biological: Granulocyte Colony-Stimulating Factor|Procedure: Hematopoietic Cell Transplantation|Procedure: Intensity-Modulated Radiation Therapy|Drug: Mycophenolate Mofetil|Drug: Tacrolimus	City of Hope Medical Center, Duarte, California, United States	https://ClinicalTrials.gov/show/NCT04262843
260	Umbilical & Cord Blood (CB) Derived CAR-Engineered NK Cells for B Lymphoid Malignancies	Recruiting	No Results Available	B-Lymphoid Malignancies|Acute Lymphocytic Leukemia|Chronic Lymphocytic Leukemia|Non-hodgkin Lymphoma	Drug: Fludarabine|Drug: Cyclophosphamide|Drug: Mesna|Biological: iC9/CAR.19/IL15-Transduced CB-NK Cells|Drug: AP1903	University of Texas MD Anderson Cancer Center, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT03056339
261	CD34 Selected Allogeneic HCT w/ Myeloablative Conditioning Plus CD8+ Memory TCell Infusion in MDS&AL	Recruiting	No Results Available	Acute Myeloid Leukemia|Acute Lymphoblastic Leukemia|Myelodysplastic Syndromes|Acute Leukemia	Drug: CD8+ Memory T Cell Selection|Drug: Thio Tepa|Drug: Fludarabine|Radiation: Hyperfractionated TBI	Stanford Medical Center, Stanford, California, United States	https://ClinicalTrials.gov/show/NCT04151706
262	Expanded/Activated Gamma Delta T-cell Infusion Following Hematopoietic Stem Cell Transplantation and Post-transplant Cyclophosphamide	Recruiting	No Results Available	Acute Myeloid Leukemia|Chronic Myeloid Leukemia|Acute Lymphoblastic Leukemia|Myelodysplastic Syndromes	Drug: EAGD T-cell infusion (Phase I)|Drug: EAGD T-cell infusion (Expansion)	University of Kansas Cancer Center, Westwood, Kansas, United States	https://ClinicalTrials.gov/show/NCT03533816
263	Study of IMGN632 in Patients With Untreated BPDCN and Relapsed/Refractory BPDCN	Recruiting	No Results Available	Blastic Plasmacytoid Dendritic Cell Neoplasm|Acute Myeloid Leukemia|Acute Lymphocytic Leukemia|Myeloproliferative Neoplasm	Drug: IMGN632	Banner Health MD Anderson Cancer Center, Gilbert, Arizona, United States|City of Hope Medical Center, Duarte, California, United States|Moffitt Cancer Center, Tampa, Florida, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Roswell Park Cancer Institute, Buffalo, New York, United States|Duke Cancer Institute, Durham, North Carolina, United States|Baylor Scott & White University Medical Center, Dallas, Texas, United States|MD Anderson Cancer Center, Houston, Texas, United States|Fred Hutchinson Cancer Research Center/Seattle Cancer Care Alliance, Seattle, Washington, United States|Recherche Clinique-Hématologie, Amiens, France|CHU de Besancon, Hopital Jean Minjoz, Besançon, France|Hôpital St Antoine, Paris, France|Instituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori, Meldola, Italy|Instituto Europeo di Oncologia, Milano, Italy|Hospital Universitari I Politècnic La Fe, Valencia, Spain	https://ClinicalTrials.gov/show/NCT03386513
264	A Trial to Evaluate the Potential Impact of Renal Impairment on the Pharmacokinetics and Safety of CPX-351	Recruiting	No Results Available	Hematologic Malignancy|Acute Myeloid Leukemia|Acute Lymphocytic Leukemia|Acute Lymphoblastic Leukemia|Myelodysplastic Syndromes	Drug: CPX-351	Georgetown University Medical Center, Washington, District of Columbia, United States|Northside Hospital - Blood and Bone Marrow Transplant Group of Georgia, Atlanta, Georgia, United States|University of Kansas Cancer Center, Westwood, Kansas, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Weill Cornell Medical College, New York, New York, United States|New York Medical/Westchester, Valhalla, New York, United States|Wake Forest Baptist Health, Winston-Salem, North Carolina, United States|Oregon Health and Science University, Portland, Oregon, United States|Baylor University Medical Center, Dallas, Texas, United States|Fred Hutchinson Cancer Research Center, Seattle, Washington, United States|West Virginia University Medicine, Morgantown, West Virginia, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States|Vancouver General Hospital, Vancouver, British Columbia, Canada|University Health Network/Princess Margaret Cancer Center, Toronto, Ontaro, Canada	https://ClinicalTrials.gov/show/NCT03555955
265	CD22-CAR T Cells in Children and Young Adults With B Cell Malignancies	Recruiting	No Results Available	B Cell Lymphoma|Acute Lymphoblastic Leukemia, Pediatric|Lymphoma	Drug: Fludarabine|Drug: Cyclophosphamide|Drug: Autologous CD22 CAR T	Stanford Medical Center, Stanford, California, United States	https://ClinicalTrials.gov/show/NCT04088864
266	CAR-T Immunotherapy Targeting CD19- ALL	Recruiting	No Results Available	B-cell Leukemia	Biological: 4SCAR-CD22/CD123/CD38/CD10/CD20/TSLPR	Zhujiang Hospital of Southern Medical University, Guangzhou, Guangdong, China|Shenzhen Geno-immune Medical Institute, Shenzhen, Guangdong, China|Zhongxi Children Hospital, Shijiazhuang, Hebei, China	https://ClinicalTrials.gov/show/NCT04016129
267	Venetoclax and Chemotherapy as Frontline Therapy in Older Patients and Patients With Relapsed/Refractory ALL	Recruiting	No Results Available	Leukemia	Drug: Venetoclax|Drug: Standard Chemotherapy	Dana Farber Cancer Institute, Boston, Massachusetts, United States|MD Anderson Cancer Center, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT03319901
268	A Study of Engineered Donor Grafts (TregGraft/Orca-T) in Recipients Undergoing Allogeneic Transplantation for Hematologic Malignancies	Recruiting	No Results Available	Acute Myeloid Leukemia|Acute Lymphoid Leukemia|Myelodysplastic Syndromes|Acute Leukemia	Biological: TregGraft (Orca-T)	Ronald Reagan UCLA Medical Center, Los Angeles, California, United States|UC Davis, Sacramento, California, United States|Stanford Health Care, Stanford, California, United States|The University of Kansas Hospital, Kansas City, Kansas, United States|Oregon Health & Sciences University - Knight Cancer Institute, Portland, Oregon, United States|Sarah Cannon Research Institute, Nashville, Tennessee, United States|University of Texas MD Anderson Cancer Center, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT04013685
269	4SCAR-T Therapy Post CD19-targeted Immunotherapy	Recruiting	No Results Available	CD19 Negative B-cell Malignancies	Biological: Infusion of 4SCAR-T specific to CD22/CD123/CD38/ CD10/CD20	Shenzhen Children's Hospital, Shenzhen, Guangdong, China|The Seventh Affilliated Hospital, Sun Yat-Sen University, Shenzhen, Guangdong, China|Shijiazhuang Zhongxi Children Hospital, Shijiazhuang, Hebei, China	https://ClinicalTrials.gov/show/NCT04430530
270	Intensity Modulated Total Marrow Irradiation, Fludarabine Phosphate, and Melphalan in Treating Patients With Relapsed Hematologic Cancers Undergoing a Second Donor Stem Cell Transplant	Recruiting	No Results Available	Previously Treated Myelodysplastic Syndrome|Recurrent Adult Acute Lymphoblastic Leukemia|Recurrent Adult Acute Myeloid Leukemia|Recurrent Hematologic Malignancy	Drug: Fludarabine Phosphate|Drug: Melphalan|Radiation: Intensity-Modulated Radiation Therapy|Radiation: Total Marrow Irradiation|Procedure: Allogeneic Hematopoietic Stem Cell Transplantation|Procedure: Peripheral Blood Stem Cell Transplantation|Procedure: Allogeneic Bone Marrow Transplantation|Drug: Tacrolimus|Drug: Mycophenolate Mofetil|Other: Laboratory Biomarker Analysis	University of Chicago Comprehensive Cancer Center, Chicago, Illinois, United States	https://ClinicalTrials.gov/show/NCT02333162
271	Anti-CD19/CD22 Bispecific CAR-T Cell Therapy for CD19-positive ALL	Recruiting	No Results Available	CD19-positive ALL	Biological: anti-CD19/CD22 CAR-T cells|Drug: Fludarabine|Drug: Cyclophosphamide	Henan Province of TCM, Zhengzhou, Henan, China	https://ClinicalTrials.gov/show/NCT04303520
272	A Study of SNDX-5613 in R/R Leukemias Including Those With an MLLr/KMT2A Gene Rearrangement or NPM1 Mutation	Recruiting	No Results Available	Acute Myeloid Leukemia|Acute Lymphoblastic Leukemia|Mixed Lineage Acute Leukemia|Mixed Phenotype Acute Leukemia|Acute Leukemia of Ambiguous Lineage	Drug: SNDX-5613|Drug: cobicistat	City of Hope Comprehensive Cancer Center, Duarte, California, United States|Florida Cancer Specialists and Research Institute, Sarasota, Florida, United States|Moffitt Cancer Center, Tampa, Florida, United States|Emory Winship Cancer Institute, Atlanta, Georgia, United States|The University of Chicago Medical Center, Chicago, Illinois, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Washington University in St. Louis School of Medicine, Saint Louis, Missouri, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Montefiore Medical Center, New York, New York, United States|The University of Texas MD Anderson Cancer Center, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT04065399
